text;header
Hi there this is Ava from the home services You're eligible for a free home security system;malicious
Hello this is Noah from the auto services You've won a free oil change;malicious
This is Isabella from the charity foundation We need your support for a good cause;malicious
Hi this is Logan from the education services You're eligible for a free online course;malicious
Hello this is Harper from the retail services You have a special discount waiting for you;malicious
Hi there this is Elijah from the entertainment services You've won free tickets to a show;malicious
Hello this is Abigail from the legal services We need to discuss an important matter with you;malicious
Hi this is Benjamin from the real estate services We have a great property deal for you;malicious
Did you miss me? I am so lonely;malicious
Can you send me a quick code to help me log back into my account?;malicious
I accidentally sent a package to your address can you forward it to me?;malicious
I am stranded abroad and need money for my flight home;malicious
Your friend told me to contact you can we talk here?;malicious
I have an urgent business proposal that will benefit both of us;malicious
I saw your profile and I think we could build a great future together;malicious
Can you keep this confidential? It is a matter of great importance;malicious
Please pay the small processing fee so we can release your prize;malicious
Your payment failed please update your billing information immediately;malicious
I need your help moving a large sum of money from my country;malicious
I’m a soldier currently deployed overseas I need your assistance;malicious
We are hiring urgently for a high-paying remote job No experience needed;malicious
Your account will be permanently locked unless you confirm your identity;malicious
Kindly click the link below to prevent service interruption;malicious
My uncle left you in his will please send your bank details;malicious
We noticed a login to your account from a new device in another country;malicious
Your package is waiting at the depot please pay the customs fee;malicious
I can double your money in 24 hours just send me your investment;malicious
I am a wealthy widow seeking someone to inherit my fortune;malicious
Click here to claim your free cryptocurrency before it expires;malicious
Urgent;malicious
Immediate action required;malicious
Final notice;malicious
Your account will be suspended;malicious
Lawsuit filed against you;malicious
Your Social Security number has been compromised;malicious
You are under investigation;malicious
Your bank account will be frozen;malicious
Unpaid balance;malicious
Overdue payment;malicious
Refund;malicious
Claim your prize;malicious
You’ve won the lottery;malicious
Compensation;malicious
IRS;malicious
Revenue Service;malicious
Bank account verification;malicious
Wire transfer;malicious
Bitcoin;malicious
Crypto wallet;malicious
Do not hang up;malicious
Keep this confidential;malicious
Verify your identity;malicious
We need your PIN;malicious
We need your password;malicious
Please confirm your full name address and date of birth;malicious
Police Department;malicious
FBI;malicious
CIA;malicious
Court officer;malicious
IRS agent;malicious
CRA officer;malicious
Amazon;malicious
PayPal;malicious
Microsoft;malicious
Apple Support;malicious
Free vacation;malicious
Congratulations;malicious
No strings attached;malicious
Limited-time offer;malicious
Risk-free trial;malicious
Back taxes;malicious
Arrest warrant;malicious
Tax evasion;malicious
Your computer is infected;malicious
Remote access;malicious
Firewall;malicious
Sweepstakes;malicious
Claim your prize;malicious
Processing fee;malicious
Account locked;malicious
Verify identity;malicious
Suspicious activity;malicious
SSN suspended;malicious
Identity theft;malicious
Legal enforcement;malicious
I just wanted to say thanks for your help earlier;positive
It’s always great to hear from you;positive
I really enjoyed our collaboration on that project;positive
Let me know if there’s anything I can do to help;positive
Hope you had a great weekend;positive
That’s an awesome achievement congratulations;positive
I’d love to hear your thoughts on this idea;positive
It’s been a pleasure working with you;positive
Thanks for sharing that resource it’s really useful;positive
I was inspired by what you said in the meeting today;positive
It’s great to see your hard work paying off;positive
I hope everything’s going well with your family;positive
Let’s plan to meet up next week;positive
I really appreciate you taking the time to explain that;positive
You’ve done a fantastic job on this;positive
Looking forward to seeing what you come up with next;positive
Hope your travels are going smoothly;positive
It was so nice to finally meet you in person;positive
I always enjoy our conversations;positive
Thanks for keeping me updated;positive
I’ll be cheering you on from here;positive
Hope your presentation went well today;positive
Your feedback really helped me improve my work;positive
It’s great to be working on something meaningful together;positive
I’ve learned a lot from you over the past few weeks;positive
Let’s keep in touch and see where things go;positive
I value your opinion on this matter;positive
Hope you’re having a productive day;positive
Thanks for making time to chat;positive
That sounds like an exciting opportunity;positive
Wishing you the best with your upcoming exam;positive
It’s great to have someone like you on the team;positive
I’m glad we got to reconnect after all this time;positive
Hope you’re enjoying the new place;positive
Your dedication is really admirable;positive
Thanks for introducing me to your colleague;positive
It was a pleasure to join your workshop;positive
I appreciate the effort you put into this;positive
Your creativity always inspires me;positive
Hope you’re having a relaxing evening;positive
That’s a great idea I think it could really work;positive
I really value the trust we’ve built;positive
Thanks for your kind words they mean a lot;positive
It’s always fun brainstorming with you;positive
I hope the weather is nice where you are;positive
Your insights today were spot on;positive
I’m excited to see where this project goes;positive
Thanks for keeping the momentum going;positive
Hope you’re taking some time to rest as well;positive
It’s great to see how far you’ve come;positive
Good morning this is Alex calling from TechSolutions How are you today;positive
Hello this is Sarah from GreenEnergy Corp I hope I'm not catching you at a bad time;positive
Hi this is Michael from Finance Partners We have some exciting news to share with you;positive
Good afternoon this is Emma from Market Trends How has your day been so far;positive
Hello this is David from Urban Logistics I wanted to touch base with you about our services;positive
Hi this is Jessica from HealthPlus We have a new program that might interest you;positive
Good morning this is Daniel from SecureNet I hope you're doing well;positive
Hello this is Olivia from Bright Future Investments I wanted to discuss an opportunity with you;positive
Hi this is James from QuickBooks Support How can we assist you today;positive
Good afternoon this is Sophia from EcoProducts I wanted to check in and see how things are going;positive
Hello this is Liam from Global Exports We have a new line of products you might be interested in;positive
Hi this is Ava from NextGen Software I wanted to update you on our latest features;positive
Good morning this is Noah from Premier Real Estate How is your day going;positive
Hello this is Isabella from Elite Consulting I wanted to follow up on our previous conversation;positive
Hi this is Logan from SmartTech Solutions We have a special offer for our loyal customers;positive
Good afternoon this is Harper from National Insurance I wanted to review your current policy with you;positive
Hello this is Elijah from Global Imports We have some exciting updates to share;positive
Hi this is Abigail from TopNotch Services How can we make your day better;positive
Good morning this is Benjamin from Peak Performance I wanted to discuss a potential partnership;positive
Hello this is Charlotte from SafeGuard Security We have a new security package that might interest you;positive
Hi this is Samuel from FreshStart Ventures I wanted to explore some new opportunities with you;positive
Good afternoon this is Amelia from Horizon Travel How can we assist with your travel plans today;positive
Hello this is Lucas from Prime Health We have a new wellness program to share with you;positive
Hi this is Grace from Summit Financial I wanted to discuss your financial goals;positive
Good morning this is Henry from Apex Innovations We have some exciting developments to share with you;positive



